DatePQ,Average Birth Rate,Year,Month Name,Day,Day Name,Month Number,Day of the week Number
4-Mar-00,8957.5,2000,March,4,Saturday,3,6
11-Mar-00,8739.5,2000,March,11,Saturday,3,6
18-Mar-00,8589.5,2000,March,18,Saturday,3,6
25-Mar-00,9065,2000,March,25,Saturday,3,6
3-Mar-01,8848,2001,March,3,Saturday,3,6
10-Mar-01,8743,2001,March,10,Saturday,3,6
17-Mar-01,8928,2001,March,17,Saturday,3,6
24-Mar-01,8756.5,2001,March,24,Saturday,3,6
31-Mar-01,8675.5,2001,March,31,Saturday,3,6
2-Mar-02,8408.5,2002,March,2,Saturday,3,6
9-Mar-02,8538,2002,March,9,Saturday,3,6
16-Mar-02,8646,2002,March,16,Saturday,3,6
23-Mar-02,8517.5,2002,March,23,Saturday,3,6
30-Mar-02,8223.5,2002,March,30,Saturday,3,6
1-Mar-03,8543.5,2003,March,1,Saturday,3,6
8-Mar-03,8588.5,2003,March,8,Saturday,3,6
15-Mar-03,8543,2003,March,15,Saturday,3,6
22-Mar-03,8430,2003,March,22,Saturday,3,6
29-Mar-03,8635,2003,March,29,Saturday,3,6
6-Mar-04,8532,2004,March,6,Saturday,3,6
13-Mar-04,8398,2004,March,13,Saturday,3,6
20-Mar-04,8329,2004,March,20,Saturday,3,6
27-Mar-04,8602,2004,March,27,Saturday,3,6
5-Mar-05,8499,2005,March,5,Saturday,3,6
12-Mar-05,8511,2005,March,12,Saturday,3,6
19-Mar-05,8557,2005,March,19,Saturday,3,6
26-Mar-05,7980,2005,March,26,Saturday,3,6
4-Mar-06,8682,2006,March,4,Saturday,3,6
11-Mar-06,8602,2006,March,11,Saturday,3,6
18-Mar-06,8757,2006,March,18,Saturday,3,6
25-Mar-06,8381,2006,March,25,Saturday,3,6
3-Mar-07,8739,2007,March,3,Saturday,3,6
10-Mar-07,8729,2007,March,10,Saturday,3,6
17-Mar-07,8791,2007,March,17,Saturday,3,6
24-Mar-07,8762,2007,March,24,Saturday,3,6
31-Mar-07,8453,2007,March,31,Saturday,3,6
1-Mar-08,8832,2008,March,1,Saturday,3,6
8-Mar-08,8409,2008,March,8,Saturday,3,6
15-Mar-08,8806,2008,March,15,Saturday,3,6
22-Mar-08,8477,2008,March,22,Saturday,3,6
29-Mar-08,8616,2008,March,29,Saturday,3,6
7-Mar-09,8556,2009,March,7,Saturday,3,6
14-Mar-09,8396,2009,March,14,Saturday,3,6
21-Mar-09,8286,2009,March,21,Saturday,3,6
28-Mar-09,8381,2009,March,28,Saturday,3,6
6-Mar-10,7832,2010,March,6,Saturday,3,6
13-Mar-10,7893,2010,March,13,Saturday,3,6
20-Mar-10,8005,2010,March,20,Saturday,3,6
27-Mar-10,7995,2010,March,27,Saturday,3,6
5-Mar-11,7825,2011,March,5,Saturday,3,6
12-Mar-11,7897,2011,March,12,Saturday,3,6
19-Mar-11,7786,2011,March,19,Saturday,3,6
26-Mar-11,7658,2011,March,26,Saturday,3,6
3-Mar-12,8010,2012,March,3,Saturday,3,6
10-Mar-12,7691,2012,March,10,Saturday,3,6
17-Mar-12,8066,2012,March,17,Saturday,3,6
24-Mar-12,7893,2012,March,24,Saturday,3,6
31-Mar-12,7860,2012,March,31,Saturday,3,6
2-Mar-13,7836,2013,March,2,Saturday,3,6
9-Mar-13,7946,2013,March,9,Saturday,3,6
16-Mar-13,7906,2013,March,16,Saturday,3,6
23-Mar-13,7876,2013,March,23,Saturday,3,6
30-Mar-13,7863,2013,March,30,Saturday,3,6
1-Mar-14,8186,2014,March,1,Saturday,3,6
8-Mar-14,8140,2014,March,8,Saturday,3,6
15-Mar-14,8080,2014,March,15,Saturday,3,6
22-Mar-14,8109,2014,March,22,Saturday,3,6
29-Mar-14,8153,2014,March,29,Saturday,3,6
5-Mar-94,9215,1994,March,5,Saturday,3,6
12-Mar-94,9087,1994,March,12,Saturday,3,6
19-Mar-94,8944,1994,March,19,Saturday,3,6
26-Mar-94,8957,1994,March,26,Saturday,3,6
4-Mar-95,8807,1995,March,4,Saturday,3,6
